The script	SUB	Access	C:\ProgramData\WKDXIRNNHFHKNAFGOARGSL\	PATH
The script	SUB	Retrieve	public IP address	IP ADDRESS
The script	SUB	Create	KeyLogger function	WAPI
the script	SUB	Collect	data from clipboard	PVI
The script	SUB	Have	shellcode	EXE
CodeDom function	FUNCTION	Decode	long byte sequence	OBF
The script	SUB	Decode	Base64 encoded string	OBF
The script	SUB	Download	6317a573893bde4aeea7e18e	FILE
data	DATA	Saved	C:\ProgramData\	ProgramDataPATH
The script	SUB	Execute	Compress-Archive	COMMAND
screenshots	PVI	Wait	15 seconds	TIME
oil.exe	EXE	SavedTo	C:\oil.exe	PATH
batch script	EXE	Execute	PowerShell script	EXE
$YHYA	OBF	Have	Base64 Encoded Payload	OBF
PowerShell script (Nothing.ps1)	EXE	Execute	a decoded byte sequence	DATA
The script	SUB	Execute	a web quest	WEB QUEST
$AA	FILE	WITH NAME	random name	RANDOM FILE NAME
$AA	FILE	Combined with	$BB	FILE
The script	SUB	Copy	$MHilluFsD	MEMORY
mezzanines.dll	DLL	Have	rundll32	WAPI
The script	SUB	Have	Base64 encoded payload	OBF
base64 encoded string	OBF	DecodedTo	obfuscated code	CODE
The script	SUB	Terminate	processes with 'config.json' in path	PROCESS
The script	SUB	Monitor	C:\Users	PATH
The script	SUB	Terminate	winword process	PROCESS
The script	SUB	Use	VirtualAlloc	WAPI
binary strings	BINARY STRING	ConvertedTo	ASCII	ASCII STRING
The script	SUB	Use	Receive-Job	COMMAND
The script	SUB	Use	New-Object	WAPI
files from MEMEMAN directory	FILE	CopiedTo	user's startup folder	PATH
[ab821408b424418fa94bb4d815b4e.ad0682a943e4859ef35309cc0a537]	NAMESPACE	Have	a1f5abfa214411baa77e25f6ceaa6	FUNCTION
The script	SUB	Send	clipboard content	PVI
Script	SUB	Use	PowerShell remoting functions	FUNCTION
The script	SUB	Create	VBScript file	EXE
The script	SUB	Use	Start-Job -RunAs32	Start-Job COMMAND
Start-Job -RunAs32	Start-Job COMMAND	Have	-RunAs32	RunAs32 PARAMETER
GetEhvzt	PARAMETER	Replaced With	GetEnvironmentVariable('public')	FUNCTION
The script	SUB	Collect	User's location	PVI
The script	SUB	Access	collected key presses	PVI
The script	SUB	Wait	specified duration ($RunTimeP minutes)	TIME
The script	SUB	Decode	base64 encoded string	OBF
byte array `$JTlRGFdlQ`	OBF	Encrypt	x86 assembly instructions	ASM
The script	SUB	Use	Obfuscated Code	OBF
The script	SUB	Connect	ammuuuServerHHHHHHHHHHHHHHHHHHHHHtxt	EXTERNAL SERVICE
a suspicious user agent	USER AGENT	AddedTo	Header of the web quest	WEB QUEST
The script	SUB	Have	Base64 Encoded Command	OBF
InstallUtil.exe	EXE	Have	Byte Array	BYTE ARRAY PAYLOAD
The script	SUB	Create	dynamic assemblies	ASSEMBLY
The script	SUB	Extract	file.zip	COMPRESSED FILE
Invoke-Expression	COMMAND	Have	long byte sequence	OBF
arguments	PARAMETER	ReferTo	msbuild.exe	EXE
The script	SUB	Check	'adobe' directory	PATH
powershell.exe -eC	PS COMMAND	Have	-WindowStyle Hidden	BYPASS PARAMETER
The script	SUB	Connect	C&C server	EXTERNAL SERVICE
scheduled task 'det'	TASK	Terminated	The script	SUB
The script	SUB	Create	XX.vbs	EXE
The script	SUB	Creates	batch file	EXE
VsLabsData.ps1	EXE	Download	payload	OBF
The script	SUB	Use	Marshal.Copy	Marshal.Copy
The script	SUB	Hide	winhost.exe	EXE
System.Net.WebClient	CLASS	Download	'main.php'	FILE
The script	SUB	Download	a base64 encoded PowerShell script	EXE
The script	SUB	Delete	$Path	PATH
VBScript files	EXE	Hosted	directory in user's AppData\Roaming\Logs folder	USER APPDATA PATH
VBS script	EXE	Execute	batch script	EXE
The script	SUB	Create	Report.ps1	EXE
The script	SUB	Use	PowerShell Encryption	Encryption
The script	SUB	Create	scheduled task 'TvMusic2'	TASK
The script	SUB	Use	GetProcAddress	WAPI
Base64 Encoded Data	OBF	Decoded	decrypted data	DATA
$NA + $AC	VAR	Is	C:\Windows\System32	PATH
The script	SUB	Execute	winhost.exe	EXE
'YWGCNHBTTYGDVSHYYNDAIO.bat'	EXE	Execute	'YWGCNHBTTYGDVSHYYNDAIO.ps1'	EXE
1.bat	FILE	Execute	PowerShell	EXE
Powershell	PS COMMAND	Have	command in hidden mode	BYPASS PARAMETER
The script	SUB	Download	http://jbb123.webd.pro/gg/shove.ke	EXE
$env:TMP\BrowserData.txt	FILE	Saved	temporary directory	TEMP PATH
The script	SUB	Connect	htljan62024.blogspot.com	URL
The script	SUB	Modify	Windows registry	REGKEY
CreateThread	WAPI	CalledWith	dwCreationFlags: 0	dwCreationFlags PARAMETER
The script	SUB	Check	size of IntPtr	POINTER SIZE
main.php	FILE	Hosted	http://mopuketo.space/222g100/main.php	URL
TvMusic.vbs	EXE	Hosted	public directory	PATH
Script's keylogger functionality	COMMAND	Collect	clipboard data	PVI
The script	SUB	Have	-ep bypass	BYPASS PARAMETER
The script	SUB	Create	shortcut	FILE SHORTCUT
Loader.vbs	EXE	Create	Loader.bat	EXE
The script	SUB	Download	http://85.192.63.184/s.exe	EXE
Batch File	FILE	Execute	PowerShell command	EXE
System information	PVI	Include	Passwords from popular browsers	PVI
The script	SUB	Create	VBScript	EXE
The script	SUB	Have	Obfuscated PowerShell and VBScript code	OBF EXE
The script	SUB	Collect	specific file types	FILE
The script	SUB	Wait	7 seconds	TIME
The script	SUB	Download	a file	FILE
The script	SUB	Write	multiple files (.ps1, .bat, .vbs)	EXE
The script	SUB	Define	GPA	FUNCTION
s.exe	EXE	Hosted	http://85.192.63.184/s.exe	URL
The script	SUB	Delete	temporary directory	TEMP PATH
The script	SUB	Download	https://files.catbox.moe/mea71o.apk	EXE
The script	SUB	Change	Scan Schedule to 8th Day of the Month	SCAN SCHEDULE
kernel32.dll	LIBRARY	Have	VirtualAlloc	WAPI
kernel32.dll	LIBRARY	Have	GetProcAddress	WAPI
a long base64 string	OBF	Have	malicious code	CODE
The script	SUB	Collect	user's domain	PVI
The script	SUB	Have	14f30f27-650c00d7-fef40df7	HTTPHEADER
shortcut in AppData folder	FILE SHORTCUT	Points To	randomly generated file	FILE
The script	SUB	Create	Shell.Application	EXE
The script	SUB	Add Exclusion	.exe	EXE
ASCII-encoded strings	DATA	Decode	commands	COMMAND
The script	SUB	Have	Base64 Encoded Data	OBF
The script	SUB	Execute	VirtualAlloc	WAPI
Base64 encoded payload	OBF	Decoded	byte array	DATA
The script	SUB	Have	infinite loop (`while (1){...}`)	LOOP
file.exe	EXE	Saved	the temporary folder	TEMP PATH
VirtualAlloc	WAPI	Have	flAllocationType: 0x3000	ALLOCATIONTYPE PARAMETER
scheduled task 'chrome_elf'	TASK	Execute	sqmapi.vbs	EXE
custom function	FUNCTION	Execute	System.Reflection.Assembly	System.Reflection.Assembly WAPI
the Black method	FUNCTION	Execute	RegAsm.exe	EXE
PasswordVault class	WAPI	Access	stored passwords	PVI
The script	SUB	Retrieve	domain name	DOMAIN NAME
VBScript	EXE	Saved	startup folder	PATH
scheduled task 'TvMusic2'	TASK	Execute	every 2 minutes	FREQUENCY
